139 1079105384 167	174	495.868	578.312	437.157	436.818	516.892 174	181	428.196	473.174	378.076	377.755	473.146 181	188	341.092	349.505	301.153	300.534	402.747 188	195	221.054	219.453	197.667	195.993	264.222 
144 1079105984 167	174	496.388	574.454	442.45	442.047	514.231 174	181	435.431	493.893	383.376	382.838	470.027 181	188	343.108	354.459	304.866	304.078	399.802 188	195	220.608	217.878	199.363	197.619	261.525 
149 1079106584 167	174	497.276	569.357	449.191	448.877	511.566 174	181	573.541	884.343	398.363	396.993	466.296 181	188	398.153	529.813	313.974	312.634	396.331 188	195	236.947	276.19	202.874	200.949	258.363 
154 1079107184 167	174	498.414	564.287	456.168	455.707	509.397 174	181	858.929	1540.96	426.342	423.008	464.523 181	188	544.435	901.847	330.087	327.52	395.055 188	195	308.783	478.403	210.417	207.596	255.225 
159 1079107784 167	174	502.714	562.861	465.228	464.57	511.672 174	181	1502.89	2884.31	503.697	494.857	465.732 181	188	848.469	1567.39	367.017	361.403	396.913 188	195	364.213	610.369	218.29	214.687	253.581 
164 1079108384 167	174	508.104	561.849	474.78	474.133	516.511 174	181	449.73	502.738	410.96	410.188	468.118 181	188	422.223	563.192	347.579	345.472	394.638 188	195	219.484	206.531	208.661	206.63	252.586 
169 1079108984 167	174	520.899	573.405	488.139	487.585	529.649 174	181	1506.4	2884.01	519.552	510.443	478.487 181	188	887.098	1635.39	395.178	388.672	407.423 188	195	625.708	1173.46	253.078	245.874	253.983 
174 1079109584 167	174	534.617	587.507	498.886	498.359	548.49 174	181	1292.09	2435.13	503.529	497.943	496.621 181	188	819.297	1477.5	405.901	400.991	419.998 188	195	467.962	835.797	237.376	232.558	258.749 
179 1079110184 167	174	556.539	614.728	513.494	513.007	578.084 174	181	2027.21	3930.31	606.615	593.348	520.561 181	188	1551.44	2952.18	601.734	585.219	455.902 188	195	1034.69	2002.89	322.151	309.122	267.133 
184 1079110784 167	174	584.731	651.96	529.969	529.433	617.584 174	181	2501.11	4877.64	687.753	669.844	556.009 181	188	1603.13	3091.22	509.515	495.084	468.566 188	195	1204.76	2341.55	357.959	341.583	279.227 
189 1079111384 167	174	615.015	692.667	546.452	545.66	660.912 174	181	971.598	1706.58	506.433	502.575	595.411 181	188	661.889	1092.68	396.751	393.531	496.133 188	195	513.051	917.083	253.845	248.413	292.722 
194 1079111984 167	174	649.432	740.79	563.84	562.631	709.777 174	181	570.555	646.84	489.069	487.68	637.723 181	188	449.016	479.189	387.537	385.718	527.125 188	195	274.141	307.748	236.788	234.009	308.335 
#199 1079112584 167	174	466.589	633.373	289.285	289.174	549.845 174	181	1347.75	2576.81	434.098	429.356	502.988 181	188	946.934	1715.22	460.796	456.577	473.189 188	195	817.883	1562.21	257.518	252.256	324.368 
204 1079113184 167	174	715.301	831.246	599.164	598.119	799.302 174	181	628.135	720.585	520.635	519.242	719.921 181	188	495.87	532.889	413.178	411.37	599.683 188	195	288.509	313.82	246.799	244.102	337.591 
209 1079113784 167	174	746.019	872.164	620.124	619.086	835.223 174	181	648.508	729.825	538.495	537.228	755.619 181	188	515.363	548.629	427.857	426.109	629.881 188	195	290.882	302.611	252.269	249.641	347.723 
214 1079114384 167	174	762.179	891.816	632.15	631.289	854.496 174	181	662.524	745.18	549.24	548.025	773.578 181	188	527.478	561.519	436.71	434.917	646.331 188	195	294.558	306.77	255.546	252.881	351.699 
219 1079114984 167	174	778.775	909.529	650.438	649.551	868.161 174	181	676.919	758.849	565.776	564.489	786.295 181	188	539.319	572.191	450.481	448.637	657.139 188	195	297.666	308.956	260.694	257.949	352.794 
224 1079115584 167	174	787.775	914.612	667.447	666.458	869.573 174	181	684.581	761.204	581.094	579.636	788.346 181	188	546.319	575.223	463.209	461.069	660.153 188	195	298.322	306.843	265.217	262.411	350.185 
229 1079116184 167	174	794.494	915.123	684.941	683.922	866.318 174	181	690.109	759.266	596.887	595.495	785.876 181	188	550.734	572.948	476.366	474.124	658.203 188	195	298.074	302.89	269.802	266.91	345.85 
234 1079116784 167	174	799.902	913.223	701.989	700.816	861.072 174	181	694.604	755.067	612.341	610.699	782.201 181	188	554.289	568.595	489.18	486.668	655.357 188	195	297.228	297.862	274.098	271.075	340.653 
239 1079117384 167	174	808.143	914.508	721.493	720.363	858.239 174	181	702.074	754.434	630.29	628.63	781.037 181	188	561.409	569.084	504.488	501.857	656.106 188	195	297.97	295.278	279.051	275.933	337.547 
244 1079117984 167	174	817.497	917.29	739.829	738.855	859.359 174	181	709.798	754.428	647.143	645.565	781.366 181	188	567.823	566.772	518.428	515.818	658.5 188	195	299.076	293.458	283.543	280.398	335.627 
249 1079118584 167	174	831.146	925.74	759.481	758.647	868.235 174	181	722.253	761.878	665.262	663.704	789.333 181	188	579.765	575.233	534.466	531.798	667.193 188	195	301.674	294.195	288.299	285.207	336.179 
254 1079119184 167	174	850.277	941.838	781.341	780.476	886.104 174	181	741.337	779.532	685.997	684.446	807.212 181	188	601.593	606.5	553.904	551.282	684.901 188	195	306.067	298.01	293.639	290.543	339.492 
259 1079119784 167	174	874.523	964.479	805.719	804.897	912.075 174	181	766.102	806.049	709.32	707.626	833.101 181	188	617.138	605.834	572.45	569.589	710.121 188	195	311.84	304.038	299.543	296.394	344.907 
#264 1079120384 167	174	583.122	583.972	535.479	536.059	667.087 174	181	522.601	526.331	480.939	481.543	593.494 181	188	426.368	423.458	394.007	394.228	487.016 188	195	275.525	260.626	258.099	257.479	320.654 
269 1079120984 167	174	935.817	1028.79	858.402	857.497	986.087 174	181	829.531	880.679	760.803	758.936	906.676 181	188	673.038	667.353	618.542	615.202	778.129 188	195	326.185	320.908	312.248	309.118	359.931 
274 1079121584 167	174	969.506	1066.74	884.357	883.485	1029.15 174	181	864.468	923.247	786.766	784.829	949.638 181	188	705.876	709.092	642.833	639.161	817.581 188	195	333.958	330.87	318.449	315.287	368.536 
279 1079122184 167	174	1004.85	1108.12	910.582	909.701	1074.36 174	181	901.339	968.852	813.223	811.152	995.81 181	188	754.138	798.945	671.634	667.585	860.1 188	195	341.918	341.532	324.571	321.438	377.246 
284 1079122784 167	174	1035.83	1145.93	931.479	930.523	1115.78 174	181	933.377	1009.35	834.523	832.28	1037.68 181	188	805.101	903.759	697.614	693.21	899.29 188	195	348.667	350.968	329.425	326.29	384.843 
289 1079123384 167	174	1060.45	1176.66	947.44	946.218	1149.15 174	181	958.877	1041.68	850.926	848.44	1071.74 181	188	845.058	982.788	718.191	713.338	930.557 188	195	353.796	358.385	333.055	329.837	390.544 
294 1079123984 167	174	1079.36	1200.15	959.72	958.294	1174.86 174	181	978.44	1065.72	863.725	861.08	1098.22 181	188	877.039	1044.9	735.116	729.725	955.003 188	195	357.665	364.046	335.815	332.596	394.681 
299 1079124584 167	174	1084.93	1208.62	961.208	959.934	1184.09 174	181	984.498	1074.61	865.982	863.486	1107.5 181	188	843.343	932.404	726.588	721.623	962.726 188	195	357.538	365.243	335.127	331.989	394.203 
#304 1079125184 167	174	602.698	658.142	554.341	555.232	635.805 174	181	526.475	551.994	484.471	485.099	577.898 181	188	431.527	431.781	395.111	395.114	496.183 188	195	259.63	249.644	242.746	240.51	300.895 
